\?empty a
\?chunk_air b
\?chunk_ground c
\?chunk_door d
\?floor e
\?styled_floor f
\?minewood_floor_noreplace g
\?minewood_floor h
\?floor_hard i
\?adjacent_floor j
\?arrow_trap k
\?woodenlog_trap l
\?woodenlog_trap_ceiling m
\?idol_floor n
\?idol o
\?door p
\?entrance q
\?exit r
\?starting_exit s
\?door_drop_held t
\?entrance_shortcut u
\?cookfire v
\?door2_secret w
\?ghist_door2 Ù
\?spikes y
\?spring_trap z
\?push_block A
\?pen_floor B
\?pen_locked_door C
\?yang D
\?turkey E
\?platform F
\?ladder G
\?ladder_plat H
\?locked_door I
\?key J
\?altar K
\?snake L
\?cobra M
\?scorpion N
\?caveman_asleep O
\?caveman P
\?haunted_corpse Q
\?cavemanboss R
\?shop_wall%50 S
\?shop_woodwall T
\?minewood_floor_hanging_hide U
\?shop_sign V
\?wanted_poster W
\?shop_door Ø
\?lamp_hang Y
\?shop_wall Z
\?shop_item 0
\?challenge_waitroom 1
\?die 2
\?shopkeeper_vat 3
\?merchant 4
\?shopkeeper 5
\?cavemanshopkeeper 6
\?ghist_shopkeeper 7
\?sleeping_hiredhand 8
\?rock 9
\?lockedchest 0
\?cursed_pot !
\?pot @
\?treasure_vaultchest #
\?treasure_chest $
\?crate %
\?crate_bombs ^
\?crate_ropes &
\?crate_parachute *
\?mattock (
\?crossbow )
\?houyibow [
\?lightarrow ]
\?goldbars |
\?littorch {
\?walltorch }
\?autowalltorch _
\?coffin +
\?timed_powder_keg -
\?powder_keg =
\?timed_powder_keg ǋ
\?chainandblocks_ceiling /
\?chain_ceiling ,
\?conveyorbelt_left .
\?conveyorbelt_right <
\?drill >
\?udjat_socket ;
\?nonreplaceable_babylon_floor '
\?lava :
\?lavamander `
\?robot ~
\?imp À
\?vlad_floor Á
\?crown_statue Â
\?vlad Ã
\?jungle_floor Ä
\?tree_base Å
\?bush_block ﾊ
\?vine Ā
\?growable_vine Ă
\?thorn_vine ă
\?jungle_spear_trap Æ
\?sister È
\?mantrap É
\?giant_spider Ê
\?tikiman Ë
\?witchdoctor Ì
\?mosquito Í
\?beehive_floor Î
\?honey_upwards Ï
\?honey_downwards Ð
\?stone_floor Ñ
\?vault_wall Ò
\?pillar Ó
\?stagnant_lava Ô
\?olmec Õ
\?ankh Ö
\?pagoda_floor Ú
\?pagoda_floor%50 Û
\?pagoda_platform Ü
\?climbing_pole Ý
\?growable_climbing_pole ß
\?excalibur_stone ā
\?fountain_head à
\?slidingwall_switch á
\?slidingwall_ceiling â
\?bigspear_trap ã
\?giantclam ä
\?jiangshi å
\?octopus æ
\?hermitcrab ç
\?shop_pagodawall è
\?madametusk é
\?bodyguard ê
\?kingu ë
\?tiamat ì
\?water í
\?coarse_water î
\?fountain_drain ï
\?temple_floor ð
\?quicksand ñ
\?crushtrap ò
\?crushtraplarge ó
\?catmummy ô
\?crocman õ
\?mummy ö
\?sorceress ÷
\?necromancer ø
\?anubis ù
\?duat_floor ú
\?empress_grave û
\?ammit%50 ü
\?icefloor ý
\?falling_platform þ
\?upsidedown_spikes ÿ
\?landmine Ç
\?thinice ¡
\?yeti ¢
\?alien £
\?ufo ¤
\?mothership_floor ¥
\?moai_statue ¦
\?factory_generator §
\?alien_generator ¨
\?eggplant_altar ©
\?empty_mech ª
\?alienqueen «
\?plasma_cannon ¬
\?babylon_floor ®
\?mushroom_base ¯
\?crushing_elevator °
\?elevator ±
\?laser_trap ²
\?spark_trap ³
\?timed_forcefield ¸
\?forcefield ¹
\?forcefield_top º
\?ushabti »
\?olmite ¼
\?lamassu ½
\?olmecship ¾
\?palace_floor ¿
\?palace_entrance Ͱ
\?palace_table ͱ
\?palace_table_tray ͳ
\?palace_chandelier Ͷ
\?palace_candle ͷ
\?palace_bookcase ͻ
\?sunken_floor Ą
\?bone_block ą
\?mother_statue Ć
\?eggplant_door ć
\?pipe Ĉ
\?regenerating_block ĉ
\?sticky_trap Ċ
\?giant_frog ċ
\?guts_floor Ď
\?jumpdog ď
\?minister Đ
\?yama đ
\?tomb_floor Ē
\?oldhunter ē
\?thief Ĕ
\?eggplant_child ĕ
\?storage_guy Ė
\?storage_floor ė
\?cog_floor Ę
\?potofgold ę
\?clover Ě
\?cat ě
\?tv Ĝ
\?couch ĝ
\?shortcut_station_banner Ğ
\?construction_sign ğ
\?surface_floor Ġ
\?surface_hidden_floor ġ
\?dresser Ģ
\?bunkbed ģ
\?singlebed Ĥ
\?diningtable ĥ
\?sidetable Ħ
\?chair_looking_left ħ
\?chair_looking_right Ĩ
\?dog_sign ĩ
\?telescope Ī
\?zoo_exhibit ī
